;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1259;Sidon;Sidon;Sidon;;Sidon;;;;;;;;;x
PROV1260;Caesarea;Caesarea;Caesarea;;Caesarea;;;;;;;;;x
PROV1261;Nazareth;Nazareth;Nazareth;;Nazareth;;;;;;;;;x
PROV1262;Ibelin;Ibelin;Ibelin;;Ibelin;;;;;;;;;x
PROV1263;Opava;Opava;Opava;;Opava;;;;;;;;;x
PROV1264;Kuenring;Kuenring;Kuenring;;Kuenring;;;;;;;;;x
PROV1265;Zatec;Zatec;Zatec;;Zatec;;;;;;;;;x
PROV1266;An Nafud;An Nafud;An Nafud;;An Nafud;;;;;;;;;x
PROV1267;Szvuine;Szvuine;Szvuine;;Szvuine;;;;;;;;;x
PROV1;Vesturland;Vesturland;Vesturland;;Vesturland;;;;;;;;;x
PROV2;Austurland;Austurland;Austurland;;Austurland;;;;;;;;;x
PROV33;Faroe;Faroe;Faroe;;Faroe;;;;;;;;;x
PROV34;Shetland;Shetland;Shetland;;Shetland;;;;;;;;;x
PROV35;Innse Gall;Innse Gall;Innse Gall;;Innse Gall;;;;;;;;;x
PROV36;Orkney;Orkney;Orkney;;Orkney;;;;;;;;;x
PROV37;Caithness;Caithness;Caithness;;Caithness;;;;;;;;;x
PROV268;Agder;Agder;Agder;;Agder;;;;;;;;;x
PROV269;Rogaland;Rogaland;Rogaland;;Rogaland;;;;;;;;;x
PROV270;Telemark;Telemark;Telemark;;Telemark;;;;;;;;;x
PROV272;Nordmœri;Nordmœri;Nordmœri;;Nordmœri;;;;;;;;;x
PROV274;Hordaland;Hordaland;Hordaland;;Hordaland;;;;;;;;;x
PROV275;Sogn;Sogn;Sogn;;Sogn;;;;;;;;;x
PROV276;Hedmark;Hedmark;Hedmark;;Hedmark;;;;;;;;;x
PROV277;Trøndelag;Trøndelag;Trøndelag;;Trøndelag;;;;;;;;;x
PROV278;Hálogaland;Hálogaland;Hálogaland;;Hálogaland;;;;;;;;;x
PROV282;Jamtland;Jamtland;Jamtland;;Jamtland;;;;;;;;;x
PROV284;Herjedalen;Herjedalen;Herjedalen;;Herjedalen;;;;;;;;;x
PROV296;Ranrike;Ranrike;Ranrike;;Ranrike;;;;;;;;;x
PROV389;Finnmörk;Finnmörk;Finnmörk;;Finnmörk;;;;;;;;;x
PROV391;Saltpi;Saltpi;Saltpi;;Saltpi;;;;;;;;;x
PROV271;Víken;Víken;Víken;;Víken;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Danish;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV264;Slesvig;Slesvig;Slesvig;;Slesvig;;;;;;;;;x
PROV265;Fyn;Fyn;Fyn;;Fyn;;;;;;;;;x
PROV266;Eastern Sjaelland;Eastern Sjaelland;Eastern Sjaelland;;Eastern Sjaelland;;;;;;;;;x
PROV267;Aarhus;Aarhus;Aarhus;;Aarhus;;;;;;;;;x
PROV305;Bornholm;Bornholm;Bornholm;;Bornholm;;;;;;;;;x
PROV886;Perm;Perm;Perm;;Perm;;;;;;;;;x
PROV303;Skaane;Skaane;Skaane;;Skaane;;;;;;;;;x
PROV6;Blekyng;Blekyng;Blekyng;;Blekyng;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Swedish;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV298;Småland;Småland;Småland;;Småland;;;;;;;;;x
PROV294;Nerike;Nerike;Nerike;;Nerike;;;;;;;;;x
PROV297;Lödöse;Lödöse;Lödöse;;Lödöse;;;;;;;;;x
PROV288;Värmilland;Värmilland;Värmilland;;Värmilland;;;;;;;;;x
PROV285;Alir;Alir;Alir;;Alir;;;;;;;;;x
PROV283;Sunded;Sunded;Sunded;;Sunded;;;;;;;;;x
PROV280;Norrland;Norrland;Norrland;;Norrland;;;;;;;;;x
PROV290;Tiundaland;Tiundaland;Tiundaland;;Tiundaland;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Finish;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV386;Kvänland;Kvänland;Kvänland;;Kvänland;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Polish;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV428;Kujawy;Kujawy;Kujawy;;Kujawy;;;;;;;;;x
PROV429;Gniezno;Gnesne;Gniezno;;Gniezno;;;;;;;;;x
PROV430;Lubusz;Lubusz;Lubusz;;Lubusz;;;;;;;;;x
PROV431;Poznan;Poznan;Poznan;;Poznán;;;;;;;;;x
PROV432;Kalisz;Kalisz;Kalisz;;Kalisz;;;;;;;;;x
PROV435;Glogow;Glogow;Glogow;;Glogow;;;;;;;;;x
PROV434;Wroclaw;Wroclaw;Wroclaw;;Wroclaw;;;;;;;;;x
PROV527;Krakow;Cracovie;Krakau;;Cracovia;;;;;;;;;x
PROV528;Sieradz;Sieradz;Sieradz;;Sieradz;;;;;;;;;x
PROV530;Czersk;Czersk;Czersk;;Czersk;;;;;;;;;x
PROV531;Sandomierz;Sandomierz;Sandomierz;;Sandomierz;;;;;;;;;x
PROV532;Sacz;Sacz;Sacz;;Sacz;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Baltics;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV369;Pameddi;Pameddi;Pameddi;;Pameddi;;;;;;;;;x
PROV370;Notangi;Notangi;Notangi;;Notangi;;;;;;;;;x
PROV371;Sambi;Sambi;Sambi;;Sambi;;;;;;;;;x
PROV372;Lamata;Lamata;Lamata;;Lamata;;;;;;;;;x
PROV373;Kursa;Kursa;Kursa;;Kursa;;;;;;;;;x
PROV374;Riga;Riga;Riga;;Riga;;;;;;;;;x
PROV375;Talava;Talava;Talava;;Talava;;;;;;;;;x
PROV377;Sakala;Sakala;Sakala;;Sakala;;;;;;;;;x
PROV379;Ugandi;Ugandi;Ugandi;;Ugandi;;;;;;;;;x
PROV420;Lietuva;Lietuva;Lietuva;;Lietuva;;;;;;;;;x
PROV421;Zhmud;Zhmud;Zhmud;;Zhmud;;;;;;;;;x
PROV422;Skalva;Skalva;Skalva;;Skalva;;;;;;;;;x
PROV423;Sudovia;Sudovia;Sudovia;;Sudovia;;;;;;;;;x
PROV424;Navahrudka;Navahrudka;Navahrudka;;Navahrudka;;;;;;;;;x
PROV426;Trakai;Trakai;Trakai;;Trakai;;;;;;;;;x
PROV427;Galinda;Galinda;Galinda;;Galinda;;;;;;;;;x
PROV387;Olonec;Olonec;Olonec;;Olonec;;;;;;;;;x
PROV397;Samoyeds;Samoyeds;Samoyeds;;Samoyeds;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Balkans;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV459;Modruš;Modruš;Modruš;;Modruš;;;;;;;;;x
PROV460;Križevci;Križevci;Križevci;;Križevci;;;;;;;;;x
PROV462;Požega;Požega;Požega;;Požega;;;;;;;;;x
PROV464;Lika;Lika;Lika;;Lika;;;;;;;;;x
PROV466;Zachumlje;Zachumlje;Zachumlje;;Zachumlje;;;;;;;;;x
PROV503;Podrinje;Podrinje;Podrinje;;Podrinje;;;;;;;;;x
PROV504;Rama;Rama;Rama;;Rama;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#German territories;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV89;Kleve;Kleve;Kleve;;Kleve;;;;;;;;;x
PROV120;Hessen;Hessen;Hessen;;Hessen;;;;;;;;;x
PROV259;Lippe;Lippe;Lippe;;Lippe;;;;;;;;;x
PROV311;Bayreuth;Bayreuth;Bayreuth;;Bayreuth;;;;;;;;;x
PROV359;Traungau;Traungau;Traungau;;Traungau;;;;;;;;;x
PROV364;Oberlausitz;Oberlausitz;Oberlausitz;;Oberlausitz;;;;;;;;;x
PROV400;Zyriane;Zyriane;Zyriane;;Zyriane;;;;;;;;;x
PROV448;Salzburg;Salzburg;Salzburg;;Salzburg;;;;;;;;;x
PROV457;Carniola;Carniola;Carniola;;Carniola;;;;;;;;;x
PROV261;Stormarn;Stormarn;Stormarn;;Stormarn;;;;;;;;;x
PROV248;Thurgau;Thurgau;Thurgau;;Thurgau;;;;;;;;;x
PROV249;Monfort;Monfort;Monfort;;Monfort;;;;;;;;;x
PROV244;Zähringen;Zähringen;Zähringen;;Zähringen;;;;;;;;;x
PROV447;Ortenburg;Ortenburg;Ortenburg;;Ortenburg;;;;;;;;;x
PROV127;Blâmont;Blâmont;Blâmont;;Blâmont;;;;;;;;;x
PROV133;Vaudémont;Vaudémont;Vaudémont;;Vaudémont;;;;;;;;;x
PROV117;Leuven;Leuven;Leuven;;Leuven;;;;;;;;;x
PROV122;Wertheim;Wertheim;Wertheim;;Wertheim;;;;;;;;;x
PROV92;Antwerp;Antwerp;Antwerp;;Antwerp;;;;;;;;;x
PROV94;Mons;Mons;Mons;;Mons;;;;;;;;;x
PROV263;Eselsfleth;Eselsfleth;Eselsfleth;;Eselsfleth;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Bohemia;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV438;Hradec;Hradec;Hradec;;Hradec;;;;;;;;;x
PROV440;Olomuc;Olomuc;Olomuc;;Olomuc;;;;;;;;;x
PROV439;Plzen;Plzen;Plzen;;Plzen;;;;;;;;;x
PROV362;Doudleby;Doudleby;Doudleby;;Doudleby;;;;;;;;;x
PROV363;Litomerice;Litomerice;Litomerice;;Litomerice;;;;;;;;;x
PROV436;Kladsko;Kladsko;Kladsko;;Kladsko;;;;;;;;;x
PROV437;Praha;Praha;Praha;;Praha;;;;;;;;;x
PROV508;Boruy;Boruy;Boruy;;Boruy;;;;;;;;;x
PROV446;Znoymo;Znoymo;Znoymo;;Znoymo;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Burgundy;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV229;Forcalquier;Forcalquier;Forcalquier;;Forcalquier;;;;;;;;;x
PROV230;Nice;Nice;Nice;;Nice;;;;;;;;;x
PROV228;Viennois;Viennois;Viennois;;Viennois;;;;;;;;;x
PROV237;Savoie;Savoie;Savoie;;Savoie;;;;;;;;;x
PROV135;Besancon;Besancon;Besancon;;Besancon;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Italy;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV246;Ticino;Ticino;Ticino;;Ticino;;;;;;;;;x
PROV324;Cinarca;Cinarca;Cinarca;;Cinarca;;;;;;;;;x
PROV235;Milano;Milano;Milano;;Milano;;;;;;;;;x
PROV815;Acerra;Acerra;Acerra;;Acerra;;;;;;;;;
PROV347;Melfi;Melfi;Melfi;;Melfi;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Wales;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV19;Glamorgan;Glamorgan;Glamorgan;;Glamorgan;;;;;;;;;x
PROV18;Ystrad Tywi;Ystrad Tywi;Ystrad Tywi;;Ystrad Tywi;;;;;;;;;x
PROV65;Maelor;Maelor;Maelor;;Maelor;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Hungary;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV442;Trencsén;Trencsén;Trencsén;;Trencsén;;;;;;;;;x
PROV443;Nyitra;Nyitra;Nyitra;;Nyitra;;;;;;;;;x
PROV444;Visegrád;Visegrád;Visegrád;;Visegrád;;;;;;;;;x
PROV445;Pozsony;Pozsony;Pozsony;;Pozsony;;;;;;;;;x
PROV450;Sopron;Sopron;Sopron;;Sopron;;;;;;;;;x
PROV451;Fejér;Fejér;Fejér;;Fejér;;;;;;;;;x
PROV452;Tolna;Tolna;Tolna;;Tolna;;;;;;;;;x
PROV453;Csongrád;Csongrád;Csongrád;;Csongrád;;;;;;;;;x
PROV454;Kolon;Kolon;Kolon;;Kolon;;;;;;;;;x
PROV517;Temes;Temes;Temes;;Temes;;;;;;;;;x
PROV518;Bodrog;Bodrog;Bodrog;;Bodrog;;;;;;;;;x
PROV519;Fehér;Fehér;Fehér;;Fehér;;;;;;;;;x
PROV520;Bihar;Bihar;Bihar;;Bihar;;;;;;;;;x
PROV522;Szatmár;Szatmár;Szatmár;;Szatmár;;;;;;;;;x
PROV523;Heves;Heves;Heves;;Heves;;;;;;;;;x
PROV524;Gyõr;Gyõr;Gyõr;;Gyõr;;;;;;;;;x
PROV525;Árva;Árva;Árva;;Árva;;;;;;;;;x
PROV533;Borsod;Borsod;Borsod;;Borsod;;;;;;;;;x
PROV537;Somogy;Somogy;Somogy;;Somogy;;;;;;;;;x
PROV538;Abauj;Abauj;Abauj;;Abauj;;;;;;;;;x
PROV539;Veszprém;Veszprém;Veszprém;;Veszprém;;;;;;;;;x
PROV540;Doboka;Doboka;Doboka;;Doboka;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Sicily;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV339;Messina;Messina;Messina;;Messina;;;;;;;;;x
PROV340;Panormus;Panormus;Panormus;;Panormus;;;;;;;;;x
PROV341;Trapani;Trapani;Trapani;;Trapani;;;;;;;;;x
PROV342;Girgenti;Girgenti;Girgenti;;Girgenti;;;;;;;;;x
PROV343;Siracusa;Siracusa;Siracusa;;Siracusa;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Italy;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV338;Gerace;Gerace;Gerace;;Gerace;;;;;;;;;x
PROV348;Monte Sant'Angelo;Monte Sant'Angelo;Monte Sant'Angelo;;Monte Sant'Angelo;;;;;;;;;x
PROV337;Tarsia;Tarsia;Tarsia;;Tarsia;;;;;;;;;x
PROV331;Sovana;Sovana;Sovana;;Sovana;;;;;;;;;x
PROV332;Santa Fiora;Santa Fiora;Santa Fiora;;Santa Fiora;;;;;;;;;x
PROV333;Roma;Roma;Roma;;Roma;;;;;;;;;x
PROV236;Susa;Susa;Susa;;Susa;;;;;;;;;x
PROV356;Venezia;Venezia;Venezia;;Venezia;;;;;;;;;x
PROV233;Genova;Genova;Genova;;Genova;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Moldavia;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV545;Suceava;Suceava;Suceava;;Suceava;;;;;;;;;x
PROV511;Basarabia;Basarabia;Basarabia;;Basarabia;;;;;;;;;x
PROV512;Tighina;Tighina;Tighina;;Tighina;;;;;;;;;x
PROV513;Bârlad;Bârlad;Bârlad;;Bârlad;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Brittany;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV101;Roazhon;Roazhon;Roazhon;;Roazhon;;;;;;;;;x
PROV102;Turnagoued;Turnagoued;Turnagoued;;Turnagoued;;;;;;;;;x
PROV103;Leon;Leon;Leon;;Leon;;;;;;;;;x
PROV104;Gernev;Gernev;Gernev;;Gernev;;;;;;;;;x
PROV105;Gwened;Gwened;Gwened;;Gwened;;;;;;;;;x
PROV106;Naoned;Naoned;Naoned;;Naoned;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Aquitaine;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV217;Auvergne;Auvergne;Auvergne;;Auvergne;;;;;;;;;x
PROV210;Foix;Foix;Foix;;Foix;;;;;;;;;x
PROV214;Toulouse;Toulouse;Toulouse;;Toulouse;;;;;;;;;x
PROV218;Rouergue;Rouergue;Rouergue;;Rouergue;;;;;;;;;x
PROV219;Gévaudan;Gévaudan;Gévaudan;;Gévaudan;;;;;;;;;x
PROV212;Narbonne;Narbonne;Narbonne;;Narbonne;;;;;;;;;x
PROV213;Carcassonne;Carcassonne;Carcassonne;;Carcassonne;;;;;;;;;x
PROV220;Melgeuil;Melgeuil;Melgeuil;;Melgeuil;;;;;;;;;x
PROV223;Vivarais;Vivarais;Vivarais;;Vivarais;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#France;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV112;Paris;Paris;Paris;;Paris;;;;;;;;;x
PROV132;Auxerre;Auxerre;Auxerre;;Auxerre;;;;;;;;;x
PROV130;Troyes;Troyes;Troyes;;Troyes;;;;;;;;;x
PROV150;Albret;Albret;Albret;;Albret;;;;;;;;;x
PROV139;Bourges;Bourges;Bourges;;Bourges;;;;;;;;;x
PROV114;Reims;Reims;Reims;;Reims;;;;;;;;;x
PROV131;Sens;Sens;Sens;;Sens;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Rus;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV547;Kiev;Kiev;Kiev;;Kiev;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Iberia;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV154;Asturias de Santillana;Asturias de Santillana;Asturias de Santillana;;Asturias de Santillana;;;;;;;;;x
PROV155;Asturias de Oviedo;Asturias de Oviedo;Asturias de Oviedo;;Asturias de Oviedo;;;;;;;;;x
PROV156;Trastámara;Trastámara;Trastámara;;Trastámara;;;;;;;;;x
PROV158;Oporto;Oporto;Oporto;;Oporto;;;;;;;;;x
PROV165;Carmona;Carmona;Carmona;;Carmona;;;;;;;;;x
PROV173;Tortosa;Tortosa;Tortosa;;Tortosa;;;;;;;;;x
PROV174;Albarracín;Albarracín;Albarracín;;Albarracín;;;;;;;;;x
PROV178;Alarcón;Alarcón;Alarcón;;Alarcón;;;;;;;;;x
PROV179;Villena;Villena;Villena;;Villena;;;;;;;;;x
PROV183;Mérida;Mérida;Mérida;;Mérida;;;;;;;;;x
PROV195;Talavera;Talavera;Talavera;;Talavera;;;;;;;;;x
PROV182;Sevilla;Sevilla;Sevilla;;Sevilla;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Anatolia;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV735;Marash;Marash;Marash;;Marash;;;;;;;;;x
PROV734;Ravendal;Ravendal;Ravendal;;Ravendal;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Syria;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV765;Berzieh;Berzieh;Berzieh;;Berzieh;;;;;;;;;x
PROV726;Qasr al-Hayr al-Gharbi;Qasr al-Hayr al-Gharbi;Qasr al-Hayr al-Gharbi;;Qasr al-Hayr al-Gharbi;;;;;;;;;x
PROV714;Azraq;Azraq;Azraq;;Azraq;;;;;;;;;x
PROV709;Ar-Raqqah;Ar-Raqqah;Ar-Raqqah;;Ar-Raqqah;;;;;;;;;x
PROV731;Hims;Hims;Hims;;Hims;;;;;;;;;x
PROV768;Bekaa;Bekaa;Bekaa;;Bekaa;;;;;;;;;x
PROV725;Jaulan;Jaulan;Jaulan;;Jaulan;;;;;;;;;x
PROV728;Ghutah;Ghutah;Ghutah;;Ghutah;;;;;;;;;x
PROV727;Hauran;Hauran;Hauran;;Hauran;;;;;;;;;x
PROV712;Bathaniyya;Bathaniyya;Bathaniyya;;Bathaniyya;;;;;;;;;x
PROV724;Balqa;Balqa;Balqa;;Balqa;;;;;;;;;x
PROV708;Turbessel;Turbessel;Turbessel;;Turbessel;;;;;;;;;x
PROV723;Jarash;Jarash;Jarash;;Jarash;;;;;;;;;x
PROV713;Qasr al-Hayr al-Sharqi;Qasr al-Hayr al-Sharqi;Qasr al-Hayr al-Sharqi;;Qasr al-Hayr al-Sharqi;;;;;;;;;x
PROV729;Alqaim;Alqaim;Alqaim;;Alqaim;;;;;;;;;x
PROV733;Halab;Halab;Halab;;Halab;;;;;;;;;x
PROV722;Elim;Elim;Elim;;Elim;;;;;;;;;x
PROV769;Toron;Toron;Toron;;Toron;;;;;;;;;x
PROV779;Naples;Naples;Naples;;Naples;;;;;;;;;x
PROV776;St-Abraham;St-Abraham;St-Abraham;;St-Abraham;;;;;;;;;x
PROV782;Negev Desert;Negev Desert;Negev Desert;;Negev Desert;;;;;;;;;x
PROV774;Jerusalem;Jerusalem;Jerusalem;;Jerusalem;;;;;;;;;x
PROV781;Darom;Darom;Darom;;Darom;;;;;;;;;x
PROV786;Jabal Katrina;Jabal Katrina;Jabal Katrina;;Jabal Katrina;;;;;;;;;x
PROV785;Nekhel;Nekhel;Nekhel;;Nekhel;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Grecce;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV475;Naupaktos;Naupaktos;Naupaktos;;Naupaktos;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Arabia;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV716;Dumat al-Jundal;Dumat al-Jundal;Dumat al-Jundal;;Dumat al-Jundal;;;;;;;;;x
PROV717;Mawijan;Mawijan;Mawijan;;Mawijan;;;;;;;;;x
PROV865;Talabija;Talabija;Talabija;;Talabija;;;;;;;;;x
PROV720;Al-Ula;Al-Ula;Al-Ula;;Al-Ula;;;;;;;;;x
PROV654;Subala;Subala;Subala;;Subala;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
PROV1267;Szvuine;Szvuine;Szvuine;;Szvuine;;;;;;;;;x
PROV1268;Koporje;Koporje;Koporje;;Koporje;;;;;;;;;x
PROV1269;Kholmsky;Kholmsky;Kholmsky;;Kholmsky;;;;;;;;;x
PROV1270;Porhov;Porhov;Porhov;;Porhov;;;;;;;;;x
PROV1271;Ustyug Zhelezny;Ustyug Zhelezny;Ustyug Zhelezny;;Ustyug Zhelezny;;;;;;;;;x
PROV1272;Volokolamsk;Volokolamsk;Volokolamsk;;Volokolamsk;;;;;;;;;x
PROV1273;Kadom;Kadom;Kadom;;Kadom;;;;;;;;;x
PROV1274;Kozelsk;Kozelsk;Kozelsk;;Kozelsk;;;;;;;;;x
PROV1275;Itil;Itil;Itil;;Itil;;;;;;;;;x
PROV1276;Tarusa;Tarusa;Tarusa;;Tarusa;;;;;;;;;x
PROV1277;Karachev;Karachev;Karachev;;Karachev;;;;;;;;;x
PROV1278;Obolensk;Obolensk;Obolensk;;Obolensk;;;;;;;;;x
PROV1279;Zhytomyr;Zhytomyr;Zhytomyr;;Zhytomyr;;;;;;;;;x
PROV1280;Iskorosten;Iskorosten;Iskorosten;;Iskorosten;;;;;;;;;x
PROV1281;Romen;Romen;Romen;;Romen;;;;;;;;;x
PROV1282;Rogachev;Rogachev;Rogachev;;Rogachev;;;;;;;;;x
PROV1283;Cern;Cern;Cern;;Cern;;;;;;;;;x
PROV1284;Ostrog;Ostrog;Ostrog;;Ostrog;;;;;;;;;x
PROV1285;Zvenigorod;Zvenigorod;Zvenigorod;;Zvenigorod;;;;;;;;;x
PROV1286;Kamenec;Kamenec;Kamenec;;Kamenec;;;;;;;;;x
PROV1287;Mologa;Mologa;Mologa;;Mologa;;;;;;;;;x
PROV1288;Lukoml;Lukoml;Lukoml;;Lukoml;;;;;;;;;x
PROV1289;Poltava;Poltava;Poltava;;Poltava;;;;;;;;;x
PROV1290;Hotmysl;Hotmysl;Hotmysl;;Hotmysl;;;;;;;;;x
PROV1291;Belgorod;Belgorod;Belgorod;;Belgorod;;;;;;;;;x
PROV1292;Kursk;Kursk;Kursk;;Kursk;;;;;;;;;x
PROV1293;Rilsk;Rilsk;Rilsk;;Rilsk;;;;;;;;;x
PROV1294;Sluck;Sluck;Sluck;;Sluck;;;;;;;;;x
PROV1295;Logozsk;Logozsk;Logozsk;;Logozsk;;;;;;;;;x
PROV1296;Viipuri;Viipuri;Viipuri;;Viipuri;;;;;;;;;x
PROV1297;Pomesania;Pomesania;Pomesania;;Pomesania;;;;;;;;;x
PROV1298;Pogesania;Pogesania;Pogesania;;Pogesania;;;;;;;;;x
PROV1299;Bartia;Bartia;Bartia;;Bartia;;;;;;;;;x
PROV1300;Nadruvia;Nadruvia;Nadruvia;;Nadruvia;;;;;;;;;x
PROV1301;Swiecie;Swiecie;Swiecie;;Swiecie;;;;;;;;;x
PROV1302;Santok;Santok;Santok;;Santok;;;;;;;;;x
PROV1303;Neumark;Neumark;Neumark;;Neumark;;;;;;;;;x
PROV1304;Syndræ Sÿaland;Syndræ Sÿaland;Syndræ Sÿaland;;Syndræ Sÿaland;;;;;;;;;x
PROV1305;Asmena;Asmena;Asmena;;Asmena;;;;;;;;;x
PROV1306;Izjaslavl;Izjaslavl;Izjaslavl;;Izjaslavl;;;;;;;;;x
PROV1307;Bandava;Bandava;Bandava;;Bandava;;;;;;;;;x
PROV1308;Duvzare;Duvzare;Duvzare;;Duvzare;;;;;;;;;x
PROV1309;Vaiga;Vaiga;Vaiga;;Vaiga;;;;;;;;;x
PROV1310;Nord Skaane;Nord Skaane;Nord Skaane;;Nord Skaane;;;;;;;;;x
PROV1311;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1312;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1313;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1314;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1315;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1316;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1317;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1318;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1319;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1320;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1321;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1322;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1323;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1324;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1325;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1326;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1327;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1328;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1329;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1330;Placeholder;Placeholder;Placeholder;;Placeholder;;;;;;;;;x
PROV1331;Bilbays;Bilbays;Bilbays;;Bilbays;;;;;;;;;x
PROV1332;Butanya;Butanya;Butanya;;Butanya;;;;;;;;;x
PROV1333;Rashid;Rachid;Rashid;;Rashid;;;;;;;;;x
PROV1334;Fayyum;Fayyoum;Fayyum;;Fayyum;;;;;;;;;x
PROV1335;Itfih;Itfih;Itfih;;Itfih;;;;;;;;;x
PROV1336;Bahnasa;Bahnasa;Bahnasa;;Bahnasa;;;;;;;;;x
PROV1337;Manfalut;Manfalout;Manfalut;;Manfalut;;;;;;;;;x
PROV1338;Eastern desert;Désert Oriental;Eastern desert;;Eastern desert;;;;;;;;;x
PROV1339;Ikhmin;Ikhmin;Ikhmin;;Ikhmin;;;;;;;;;x
PROV1340;Qus;Qous;Qus;;Qus;;;;;;;;;x
PROV1341;Kharija;Kharidja;Kharija;;Kharija;;;;;;;;;x
PROV1342;Dakhila;Dakhila;Dakhila;;Dakhila;;;;;;;;;x
PROV1343;Bahriya;Bahriya;Bahriya;;Bahriya;;;;;;;;;x
PROV1344;Farfarun;Farfaroun;Farfarun;;Farfarun;;;;;;;;;x
PROV1345;Adjadabiya;Adjadabiya;Adjadabiya;;Adjadabiya;;;;;;;;;x
PROV1346;Al-Aghaila;Al-Aghaila;Al-Aghaila;;Al-Aghaila;;;;;;;;;x
PROV1347;Jafran;Jafran;Jafran;;Jafran;;;;;;;;;x
