;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Monte Cassino;;;;;;;;;;;;;;x
b_pontecorvo;Pontecorvo;Pontecorvo;Pontecorvo;;Pontecorvo;;;;;;;;;x
b_aquino;Aquino;Aquino;Aquino;;Aquino;;;;;;;;;x
b_montecassino;Abbazia di Montecassino;Abbazia di Montecassino;Abbazia di Montecassino;;Abbazia di Montecassino;;;;;;;;;x
#Benevento;;;;;;;;;;;;;;x
b_trivento;Trivento;Trivento;Trivento;;Trivento;;;;;;;;;x
b_eremodeisanticosmaedamiano;Eremo dei Santi Cosma e Damiano;Eremo dei Santi Cosma e Damiano;Eremo dei Santi Cosma e Damiano;;Eremo dei Santi Cosma e Damiano;;;;;;;;;x
b_isernia;Isernia;Isernia;Isernia;;Isernia;;;;;;;;;x
b_castelsanvincenzo;Castel San Vincenzo;Castel San Vincenzo;Castel San Vincenzo;;Castel San Vincenzo;;;;;;;;;x
b_boiano;Bojano;Bojano;Bojano;;Bojano;;;;;;;;;x
b_venafro;Venafro;Venafro;Venafro;;Venafro;;;;;;;;;x
b_pietrabbondante;Pietrabbondante;Pietrabbondante;Pietrabbondante;;Pietrabbondante;;;;;;;;;x
b_campobasso;Campuasce;Campuasce;Campuasce;;Campuasce;;;;;;;;;x
b_castelmonforte;Castello Monforte;Castello Monforte;Castello Monforte;;Castello Monforte;;;;;;;;;x
b_sangromolise;Castel di Sangro;Castel di Sangro;Castel di Sangro;;Castel di Sangro;;;;;;;;;x
b_bounalbergo;Buonalbergo;Buonalbergo;Buonalbergo;;Buonalbergo;;;;;;;;;x
b_ariano;Ariano;Ariano;Ariano;;Ariano;;;;;;;;;x
b_montesarchio;Montesarchio;Montesarchio;Montesarchio;;Montesarchio;;;;;;;;;x
b_apice;Apice;Apice;Apice;;Apice;;;;;;;;;x
b_airola;Airola;Airola;Airola;;Airola;;;;;;;;;x
b_petrapulsino;Petrapulsino;Petrapulsino;Petrapulsino;;Petrapulsino;;;;;;;;;x
b_avellino;Avellino;Avellino;Avellino;;Avellino;;;;;;;;;x
b_montemarano;Montemarano;Montemarano;Montemarano;;Montemarano;;;;;;;;;x
b_frigento;Frigento;Frigento;Frigento;;Frigento;;;;;;;;;x
b_trevico;Trevico;Trevico;Trevico;;Trevico;;;;;;;;;x
b_conza;Conza ;Conza ;Conza ;;Conza ;;;;;;;;;x
b_santangeloascala;Sant'Angelo a Scala;Sant'Angelo a Scala;Sant'Angelo a Scala;;Sant'Angelo a Scala;;;;;;;;;x
#Latium;;;;;;;;;;;;;;x
b_castellocaetini;Castelo Caetani;Castelo Caetani;Castelo Caetani;;Castelo Caetani;;;;;;;;;x
b_sermoneta;Sermoneta;Sermoneta;Sermoneta;;Sermoneta;;;;;;;;;x
b_nettuno;Nettuno;Nettuno;Nettuno;;Nettuno;;;;;;;;;x
b_frosinone;Frosinone;Frosinone;Frosinone;;Frosinone;;;;;;;;;x
b_anagni;Anagni;Anagni;Anagni;;Anagni;;;;;;;;;x
b_castelgandolfolatium;Castel Gandolfo;Castel Gandolfo;Castel Gandolfo;;Castel Gandolfo;;;;;;;;;x
b_ceccano;Ceccano;Ceccano;Ceccano;;Ceccano;;;;;;;;;x
b_velletri;Velletri;Velletri;Velletri;;Velletri;;;;;;;;;x
b_arce;Arce;Arce;Arce;;Arce;;;;;;;;;x
b_montesangiovannicampano;Monte San Giovanni Campano;Monte San Giovanni Campano;Monte San Giovanni Campano;;Monte San Giovanni Campano;;;;;;;;;x
b_roccaguglielma;Roccaguglielma;Roccaguglielma;Roccaguglielma;;Roccaguglielma;;;;;;;;;x
b_roccadicampolato;Rocca di Campolato;Rocca di Campolato;Rocca di Campolato;;Rocca di Campolato;;;;;;;;;x
b_castellodellaroverediisoletta;Castello Della Rovere di Isoletta;Castello Della Rovere di Isoletta;Castello Della Rovere di Isoletta;;Castello Della Rovere di Isoletta;;;;;;;;;x
b_fianoromano;Fiano Romano;Fiano Romano;Fiano Romano;;Fiano Romano;;;;;;;;;x
b_castelloducaleorsini;Castello Orsini;Castello Orsini;Castello Orsini;;Castello Orsini;;;;;;;;;x
b_nerola;Nerola;Nerola;Nerola;;Nerola;;;;;;;;;x
b_arsoli;Arsoli;Arsoli;Arsoli;;Arsoli;;;;;;;;;x
b_palombarasabina;Palombara;Palombara;Palombara;;Palombara;;;;;;;;;x
b_marcellina;Marcellina;Marcellina;Marcellina;;Marcellina;;;;;;;;;x
b_sanpolodeicavalieri;San Polo dei Cavalieri;San Polo dei Cavalieri;San Polo dei Cavalieri;;San Polo dei Cavalieri;;;;;;;;;x
b_mentana;Porto;Porto;Porto;;Porto;;;;;;;;;x
b_bracciano;Bracciano;Bracciano;Bracciano;;Bracciano;;;;;;;;;x
b_anguillarasabazia;Anguillara Sabazia;Anguillara Sabazia;Anguillara Sabazia;;Anguillara Sabazia;;;;;;;;;x
b_trevignanoromano;Palestrina;Palestrina;Palestrina;;Palestrina;;;;;;;;;x
b_castellacciodeimonteroni;Castelaccio de li Monteroni;Castelaccio de li Monteroni;Castelaccio de li Monteroni;;Castelaccio de li Monteroni;;;;;;;;;x
b_palo;Albano;Albano;Albano;;Albano;;;;;;;;;x
b_castrummarcellini;Castrum Marcellini;Castrum Marcellini;Castrum Marcellini;;Castrum Marcellini;;;;;;;;;x
b_castelsantangelo;Castel Sant'Angelo;Castel Sant'Angelo;Castel Sant'Angelo;;Castel Sant'Angelo;;;;;;;;;x
b_castellodiLunghezza;Castello di Lunghezza;Castello di Lunghezza;Castello di Lunghezza;;Castello di Lunghezza;;;;;;;;;x
b_roccapia;Rocca Pia;Rocca Pia;Rocca Pia;;Rocca Pia;;;;;;;;;x
b_farneto;Farneto;Farneto;Farneto;;Farneto;;;;;;;;;x
b_roccaviterbo;Castrum Viterbii;Castrum Viterbii;Castrum Viterbii;;Castrum Viterbii;;;;;;;;;x
b_morlupo;Morlupo;Morlupo;Morlupo;;Morlupo;;;;;;;;;x
b_rignano;Rignano Flaminio;Rignano Flaminio;Rignano Flaminio;;Rignano Flaminio;;;;;;;;;x
b_castellodirota;Castello di Rota;Castello di Rota;Castello di Rota;;Castello di Rota;;;;;;;;;x
b_tolfa;Tolfa;Tolfa;Tolfa;;Tolfa;;;;;;;;;x
b_civitacastellana;Civita Castellana;Civita Castellana;Civita Castellana;;Civita Castellana;;;;;;;;;x
b_nepi;Nepi;Nepi;Nepi;;Nepi;;;;;;;;;x
b_leprignano;Leprignano;Leprignano;Leprignano;;Leprignano;;;;;;;;;x
b_giove;Rocca di Giove;Rocca di Giove;Rocca di Giove;;Rocca di Giove;;;;;;;;;x
b_roccadinarni;Rocca di Narni;Rocca di Narni;Rocca di Narni;;Rocca di Narni;;;;;;;;;x
b_bagnoregio;Bagnoregio;Bagnoregio;Bagnoregio;;Bagnoregio;;;;;;;;;x
b_tivoli;Tivoli;Tivoli;Tivoli;;Tivoli;;;;;;;;;x
b_ostia;Ostia;Ostia;Ostia;;Ostia;;;;;;;;;x
b_sutri;Sutri;Sutri;Sutri;;Sutri;;;;;;;;;x
b_terracina;Terracina;Terracina;Terracina;;Terracina;;;;;;;;;x
b_viterbo;Viterbo;Viterbo;Viterbo;;Viterbo;;;;;;;;;x
b_orvieto;Orvieto;Orvieto;Orvieto;;Orvieto;;;;;;;;;x
b_alviano;Alviano;Alviano;Alviano;;Alviano;;;;;;;;;x
b_montecastrilli;Montecastrilli;Montecastrilli;Montecastrilli;;Montecastrilli;;;;;;;;;x
b_otricoli;Otricoli;Otricoli;Otricoli;;Otricoli;;;;;;;;;x
b_amelia;Amelia;Amelia;Amelia;;Amelia;;;;;;;;;x
b_baschi;Baschi;Baschi;Baschi;;Baschi;;;;;;;;;x
#Spoleto;;;;;;;;;;;;;;x
b_isolaliri;Isola del Liri;Isola del Liri;Isola del Liri;;Isola del Liri;;;;;;;;;x
b_castelloboncompagni;Castello Boncompagni;Castello Boncompagni;Castello Boncompagni;;Castello Boncompagni;;;;;;;;;x
b_vicalvi;Vicalvi;Vicalvi;Vicalvi;;Vicalvi;;;;;;;;;x
b_alvitoabruzzo;Alvito;Alvito;Alvito;;Alvito;;;;;;;;;x
b_balsorano;Balsorana;Balsorana;Balsorana;;Balsorana;;;;;;;;;x
b_sora;Sora;Sora;Sora;;Sora;;;;;;;;;x
b_barrea;Barrea;Barrea;Barrea;;Barrea;;;;;;;;;x
b_pescasseroli;Pescasseroli;Pescasseroli;Pescasseroli;;Pescasseroli;;;;;;;;;x
b_atinaalvito;Atina;Atina;Atina;;Atina;;;;;;;;;x
b_casoli;Carseoli;Carseoli;Carseoli;Carsoli;Carseoli;;;;;;;;;x
b_guardiagrele;Guardiagrele;Guardiagrele;Guardiagrele;;Guardiagrele;;;;;;;;;x
b_bomba;Bomba;Bomba;Bomba;;Bomba;;;;;;;;;x
b_montazzoli;Montazzoli;Montazzoli;Montazzoli;;Montazzoli;;;;;;;;;x
b_castiglionemessermarino;Castiglione;Castiglione;Castiglione;;Castiglione;;;;;;;;;x
b_manopello;Manopello;Manopello;Manopello;;Manopello;;;;;;;;;x
b_civitaluparella;Civitaluparella;Civitaluparella;Civitaluparella;;Civitaluparella;;;;;;;;;x
b_avezzano;Avezzane;Avezzane;Avezzane;;Avezzane;;;;;;;;;x
b_celano;Celano;Celano;Celano;;Celano;;;;;;;;;x
b_pescina;Pescina;Pescina;Pescina;;Pescina;;;;;;;;;x
b_sulmona;Sulmona;Sulmona;Sulmona;;Sulmona;;;;;;;;;x
b_raiano;Raiano;Raiano;Raiano;;Raiano;;;;;;;;;x
b_capistrello;Capistrello;Capistrello;Capistrello;;Capistrello;;;;;;;;;x
b_civitella;Civitella Alfedena;Civitella Alfedena;Civitella Alfedena;;Civitella Alfedena;;;;;;;;;x
b_albe;Albe;Albe;Albe;;Albe;;;;;;;;;x
b_anversadegliabruzzi;Anversa;Anversa;Anversa;;Anversa;;;;;;;;;x
b_pacentro;Pacentro;Pacentro;Pacentro;;Pacentro;;;;;;;;;x
b_valvaabruzzo;Valva;Valva;Valva;;Valva;;;;;;;;;x
b_popoliabruzzo;Popoli;Popoli;Popoli;;Popoli;;;;;;;;;x
b_calascio;Calascio;Calascio;Calascio;;Calascio;;;;;;;;;x
b_capestrano;Capestrano;Capestrano;Capestrano;;Capestrano;;;;;;;;;x
b_scurcolamarsicana;Scurcola Marsicana;Scurcola Marsicana;Scurcola Marsicana;;Scurcola Marsicana;;;;;;;;;x
b_narni;Narnia;Narnia;Narnia;;Narnia;;;;;;;;;x
b_castelbuonospoleto;Castelbuono;Castelbuono;Castelbuono;;Castelbuono;;;;;;;;;x
b_roccaalbornoz;Rocca Albornoziana;Rocca Albornoziana;Rocca Albornoziana;;Rocca Albornoziana;;;;;;;;;x
b_spoleto;Spoleto;Spoleto;Spoleto;;Spoleto;;;;;;;;;x
b_todi;Todi;Todi;Todi;;Todi;;;;;;;;;x
b_terni;Terni;Terni;Terni;;Terni;;;;;;;;;x
b_foligno;Foligno;Foligno;Foligno;;Foligno;;;;;;;;;x
b_bevagna;Bevagna;Bevagna;Bevagna;;Bevagna;;;;;;;;;x
b_perugia;Perugia;Perugia;Perugia;;Perugia;;;;;;;;;x
b_torgiano;Torgiano;Torgiano;Torgiano;;Torgiano;;;;;;;;;x
b_bastiaumbria;Bastia Umbra;Bastia Umbra;Bastia Umbra;;Bastia Umbra;;;;;;;;;x
b_bettona;Bettona;Bettona;Bettona;;Bettona;;;;;;;;;x
b_deruta;Deruta;Deruta;Deruta;;Deruta;;;;;;;;;x
b_magione;Magione;Magione;Magione;;Magione;;;;;;;;;x
b_castellodelleforme;Castello delle Forme;Castello delle Forme;Castello delle Forme;;Castello delle Forme;;;;;;;;;x
b_castellodelleone;Castello del Leone;Castello del Leone;Castello del Leone;;Castello del Leone;;;;;;;;;x
b_teramo;Teramo;Teramo;Teramo;;Teramo;;;;;;;;;x
b_aprutium_penne;Pònne;Pònne;Pònne;;Pònne;;;;;;;;;x
b_paganica;Paganica;Paganica;Paganica;;Paganica;;;;;;;;;x
b_aquila;Aquila;Aquila;Aquila;;Aquila;;;;;;;;;x
#Marche;;;;;;;;;;;;;;x
b_norcia;Norcia;Norcia;Norcia;;Norcia;;;;;;;;;x
b_gualdotadino;Gualdo Tadino;Gualdo Tadino;Gualdo Tadino;;Gualdo Tadino;;;;;;;;;x
b_vallecastellana;Valle Castellana;Valle Castellana;Valle Castellana;;Valle Castellana;;;;;;;;;x
b_roccaflea;Rocca Flea;Rocca Flea;Rocca Flea;;Rocca Flea;;;;;;;;;x
b_roccadeiborgia;Rocca dei Borgia;Rocca dei Borgia;Rocca dei Borgia;;Rocca dei Borgia;;;;;;;;;x
b_fabriano;Fabriano;Fabriano;Fabriano;;Fabriano;;;;;;;;;x
b_preci;Preci;Preci;Preci;;Preci;;;;;;;;;x
b_caldarola;Caldarola;Caldarola;Caldarola;;Caldarola;;;;;;;;;x
b_tolentino;Tolentino;Tolentino;Tolentino;;Tolentino;;;;;;;;;x
b_mondavio;Mondavi;Mondavi;Mondavi;;Mondavi;;;;;;;;;x
b_offagna;Offagna;Offagna;Offagna;;Offagna;;;;;;;;;x
b_roccacostanza;Rocca Costanza;Rocca Costanza;Rocca Costanza;;Rocca Costanza;;;;;;;;;x
b_roccaroveresca;Rocca Roveresca;Rocca Roveresca;Rocca Roveresca;;Rocca Roveresca;;;;;;;;;x
b_senigallia;Senigallia;Senigallia;Senigallia;;Senigallia;;;;;;;;;x
b_castellodellarancia;Castello della Rancia;Castello della Rancia;Castello della Rancia;;Castello della Rancia;;;;;;;;;x
b_portosangiorgio;Porto San Giorgio;Porto San Giorgio;Porto San Giorgio;;Porto San Giorgio;;;;;;;;;x
b_tortoreto;Tortoreto;Tortoreto;Tortoreto;;Tortoreto;;;;;;;;;x
b_santelpidioamare;Porto Sant'Elpidio;Porto Sant'Elpidio;Porto Sant'Elpidio;;Porto Sant'Elpidio;;;;;;;;;x
b_guilianova;Giulianova;Giulianova;Giulianova;;Giulianova;;;;;;;;;x
b_ponzanodifermo;Ponzano;Ponzano;Ponzano;;Ponzano;;;;;;;;;x
b_ascolipiceno;Ascoli;Ascoli;Ascoli;;Ascoli;;;;;;;;;x
b_sanbenedettodeltronto;San Benedetto;San Benedetto;San Benedetto;;San Benedetto;;;;;;;;;x
b_civitanovamarche;Civitanova;Civitanova;Civitanova;;Civitanova;;;;;;;;;x
b_camerino;Camerino;Camerino;Camerino;;Camerino;;;;;;;;;x
b_castelraimondo;Castel Raimondo;Castel Raimondo;Castel Raimondo;;Castel Raimondo;;;;;;;;;x
b_osimo;Osimo;Osimo;Osimo;;Osimo;;;;;;;;;x
b_recanati;Recanati;Recanati;Recanati;;Recanati;;;;;;;;;x
b_fermo;Fermo;Fermo;Fermo;;Fermo;;;;;;;;;x
b_matelica;Matelica;Matelica;Matelica;;Matelica;;;;;;;;;x
#Urbino;;;;;;;;;;;;;;x
b_sanleo;San Leo;San Leo;San Leo;;San Leo;;;;;;;;;x
b_pennabilli;La Pena;La Pena;La Pena;;La Pena;;;;;;;;;x
b_sassocorvaro;Sasso Corbera;Sasso Corbera;Sasso Corbera;;Sasso Corbera;;;;;;;;;x
b_santagatafeltria;Sant'Agata;Sant'Agata;Sant'Agata;;Sant'Agata;;;;;;;;;x
b_lunano;Lunano;Lunano;Lunano;;Lunano;;;;;;;;;x
b_monteilluminato;Monte Illuminato;Monte Illuminato;Monte Illuminato;;Monte Illuminato;;;;;;;;;x
b_maiolo;Maiolo;Maiolo;Maiolo;;Maiolo;;;;;;;;;x
b_sestino;Sestino;Sestino;Sestino;;Sestino;;;;;;;;;x
b_pietrarubbia;Pietrarubia;Pietrarubia;Pietrarubia;;Pietrarubia;;;;;;;;;x
b_fossombrone;Fossombrone;Fossombrone;Fossombrone;;Fossombrone;;;;;;;;;x
b_roccatorrinone;Rocca Torrione;Rocca Torrione;Rocca Torrione;;Rocca Torrione;;;;;;;;;x
b_cagliurbino;Cagli;Cagli;Cagli;;Cagli;;;;;;;;;x
b_acqualagna;Acqualagna;Acqualagna;Acqualagna;;Acqualagna;;;;;;;;;x
b_fermignanourbino;Fermignano;Fermignano;Fermignano;;Fermignano;;;;;;;;;x
b_urbania;Urbania;Urbania;Urbania;;Urbania;;;;;;;;;x
b_albornoz;Fortezza Albornoz;Fortezza Albornoz;Fortezza Albornoz;;Fortezza Albornoz;;;;;;;;;x
b_urbino;Urbino;Urbino;Urbino;;Urbino;;;;;;;;;x
b_montegiardino;Montegiardino;Montegiardino;Montegiardino;;Montegiardino;;;;;;;;;x
b_serravallesanmarino;Serravalle;Serravalle;Serravalle;;Serravalle;;;;;;;;;x
b_acquaviva;Aquaviva;Aquaviva;Aquaviva;;Aquaviva;;;;;;;;;x
b_gubbio;Gubbio;Gubbio;Gubbio;;Gubbio;;;;;;;;;x
#Ravenna;;;;;;;;;;;;;;x
b_forli;Forlì;Forlì;Forlì;;Forlì;;;;;;;;;x
b_gradara;Gradara;Gradara;Gradara;;Gradara;;;;;;;;;x
b_roccamalatestiana;Rocca Malatestiana;Rocca Malatestiana;Rocca Malatestiana;;Rocca Malatestiana;;;;;;;;;x
b_raffanara;Castel di Raffanara;Castel di Raffanara;Castel di Raffanara;;Castel di Raffanara;;;;;;;;;x
b_castellocortina;Castel di Cortina;Castel di Cortina;Castel di Cortina;;Castel di Cortina;;;;;;;;;x
b_russi;Russi;Russi;Russi;;Russi;;;;;;;;;x
b_cotignola;Cotignola;Cotignola;Cotignola;;Cotignola;;;;;;;;;x
b_cunio;Castel di Cunio;Castel di Cunio;Castel di Cunio;;Castel di Cunio;;;;;;;;;x
b_lugo;Lugo;Lugo;Lugo;;Lugo;;;;;;;;;x
b_roccaesteneseravenna;Rocca Estense;Rocca Estense;Rocca Estense;;Rocca Estense;;;;;;;;;x
b_roccabrancaleone;Rocca Brancaleone;Rocca Brancaleone;Rocca Brancaleone;;Rocca Brancaleone;;;;;;;;;x
b_castelloteodorano;Castello Teodorano;Castello Teodorano;Castello Teodorano;;Castello Teodorano;;;;;;;;;x
b_roccadellecaminate;Rocca delle Caminate;Rocca delle Caminate;Rocca delle Caminate;;Rocca delle Caminate;;;;;;;;;x
b_forlimpopoli;Forlimpopoli;Forlimpopoli;Forlimpopoli;;Forlimpopoli;;;;;;;;;x
b_dovadola;Dovadola;Dovadola;Dovadola;;Dovadola;;;;;;;;;x
b_casolavalsenio;Casola;Casola;Casola;;Casola;;;;;;;;;x
b_sanmercuriale;San Mercuriale;San Mercuriale;San Mercuriale;;San Mercuriale;;;;;;;;;x
b_monghidoro;Monghidoro;Monghidoro;Monghidoro;;Monghidoro;;;;;;;;;x
b_budro;Budro;Budro;Budro;;Budro;;;;;;;;;x
b_monterenzio;Monterenzio;Monterenzio;Monterenzio;;Monterenzio;;;;;;;;;x
b_crevalcor;Crevalcore;Crevalcore;Crevalcore;;Crevalcore;;;;;;;;;x
b_sangiacomomaggiore;San Giacomo Maggiore;San Giacomo Maggiore;San Giacomo Maggiore;;San Giacomo Maggiore;;;;;;;;;x
b_castelguelf;Castelguelfo;Castelguelfo;Castelguelfo;;Castelguelfo;;;;;;;;;x
b_castellaccio;Castellaccio;Castellaccio;Castellaccio;;Castellaccio;;;;;;;;;x
b_roccasforzesca;Rocca Sforzesca;Rocca Sforzesca;Rocca Sforzesca;;Rocca Sforzesca;;;;;;;;;x
b_astellodigaleazza;Castello di Galeazza;Castello di Galeazza;Castello di Galeazza;;Castello di Galeazza;;;;;;;;;x
b_roccamalaspina;Rocca Malaspina;Rocca Malaspina;Rocca Malaspina;;Rocca Malaspina;;;;;;;;;x
b_borgorotondo;Borgo Rotondo;Borgo Rotondo;Borgo Rotondo;;Borgo Rotondo;;;;;;;;;x
b_castellodibentivoglio;Castel di Bentivoglio;Castel di Bentivoglio;Castel di Bentivoglio;;Castel di Bentivoglio;;;;;;;;;x
b_munzuno;Munno;Munno;Munno;;Munno;;;;;;;;;x
b_faenza;Faenza;Faenza;Faenza;;Faenza;;;;;;;;;x
b_bagnacavallo;Bagnacavallo;Bagnacavallo;Bagnacavallo;;Bagnacavallo;;;;;;;;;x
b_cervia;Cervia;Cervia;Cervia;;Cervia;;;;;;;;;x
b_imola;Imola;Imola;Imola;;Imola;;;;;;;;;x
b_rimini;Rimini;Rimini;Rimini;;Rimini;;;;;;;;;x
b_sigismondo;Castel di Sigismondo;Castel di Sigismondo;Castel di Sigismondo;;Castel di Sigismondo;;;;;;;;;x
b_pesaro;Pesaro;Pesaro;Pesaro;;Pesaro;;;;;;;;;x
b_fano;Fano;Fano;Fano;;Fano;;;;;;;;;x
b_cesena;Cesena;Cesena;Cesena;;Cesena;;;;;;;;;x
#Lucca;;;;;;;;;;;;;;x
b_lucca;Lucca;Lucca;Lucca;;Lucca;;;;;;;;;x
b_altopascio;Altopascio;Altopascio;Altopascio;;Altopascio;;;;;;;;;x
b_viareggio;Viareggio;Viareggio;Viareggio;;Viareggio;;;;;;;;;x
b_seravezza;Seravezza;Seravezza;Seravezza;;Seravezza;;;;;;;;;x
b_capannori;Capannori;Capannori;Capannori;;Capannori;;;;;;;;;x
b_fosdinovo;Fosdinovo;Fosdinovo;Fosdinovo;;Fosdinovo;;;;;;;;;x
b_sanminiato;San Miniato;San Miniato;San Miniato;;San Miniato;;;;;;;;;x
b_volterra;Volterra;Volterra;Volterra;;Volterra;;;;;;;;;x
b_sangimignano;San Gimignano;San Gimignano;San Gimignano;;San Gimignano;;;;;;;;;x
#Tuscany;;;;;;;;;;;;;;x
b_cittadicastello;Città di Castello;Città di Castello;Città di Castello;;Città di Castello;;;;;;;;;x
b_lucignano;Lucignano;Lucignano;Lucignano;;Lucignano;;;;;;;;;x
b_arezzo;Arezzo;Arezzo;Arezzo;;Arezzo;;;;;;;;;x
b_cortona;Cortona;Cortona;Cortona;;Cortona;;;;;;;;;x
b_pienza;Pienza;Pienza;Pienza;;Pienza;;;;;;;;;x
b_montepulciano;Montepulciano;Montepulciano;Montepulciano;;Montepulciano;;;;;;;;;x
b_montalcino;Montalcino;Montalcino;Montalcino;;Montalcino;;;;;;;;;x
b_colledivaldelsa;Colle di Val d'Elsa;Colle di Val d'Elsa;Colle di Val d'Elsa;;Colle di Val d'Elsa;;;;;;;;;x
b_monteriggioni;Monteriggioni;Monteriggioni;Monteriggioni;;Monteriggioni;;;;;;;;;x
b_radicofani;Radicofani;Radicofani;Radicofani;;Radicofani;;;;;;;;;x
b_grosseto;Grosseto;Grosseto;Grosseto;;Grosseto;;;;;;;;;x
b_roselle;Roselle;Roselle;Roselle;;Roselle;;;;;;;;;x
b_vetulonia;Vetulonia;Vetulonia;Vetulonia;;Vetulonia;;;;;;;;;x
b_orbetello;Orbetello;Orbetello;Orbetello;;Orbetello;;;;;;;;;x
b_pitigliano;Pitigliano;Pitigliano;Pitigliano;;Pitigliano;;;;;;;;;x
b_sorano;Sorano;Sorano;Sorano;;Sorano;;;;;;;;;x
b_giglio;Isola del Giglio;Isola del Giglio;Isola del Giglio;;Isola del Giglio;;;;;;;;;x
b_castellodeltrebbio;Castello del Trebbio;Castello del Trebbio;Castello del Trebbio;;Castello del Trebbio;;;;;;;;;x
b_castellodeicontiguidi;Poppi;Poppi;Poppi;;Poppi;;;;;;;;;x
b_pontassieve;Pontassieve;Pontassieve;Pontassieve;;Pontassieve;;;;;;;;;x
b_strumi;Chiesa di San Fedele;Chiesa di San Fedele;Chiesa di San Fedele;;Chiesa di San Fedele;;;;;;;;;x
b_castellodelvinciosulambrone;Castello di Vinci;Castello di Vinci;Castello di Vinci;;Castello di Vinci;;;;;;;;;x
b_borgosanlorenzo;Borgo San Lorenzo;Borgo San Lorenzo;Borgo San Lorenzo;;Borgo San Lorenzo;;;;;;;;;x
b_bibbena;Bibbiena;Bibbiena;Bibbiena;;Bibbiena;;;;;;;;;x
b_prato;Castrum Prati;Castrum Prati;Castrum Prati;;Castrum Prati;;;;;;;;;x
b_fiesole;Fiesole;Fiesole;Fiesole;;Fiesole;;;;;;;;;x
b_certaldo;Certaldo;Certaldo;Certaldo;;Certaldo;;;;;;;;;x
b_sestofiorentino;Castello di Castiglioni;Castello di Castiglioni;Castello di Castiglioni;;Castello di Castiglioni;;;;;;;;;x
b_calenzano;Castello di Legri;Castello di Legri;Castello di Legri;;Castello di Legri;;;;;;;;;x
b_castellodivincigliata;Castello di Vincigliata;Castello di Vincigliata;Castello di Vincigliata;;Castello di Vincigliata;;;;;;;;;x
b_casteldipoggio;Castel di Poggio;Castel di Poggio;Castel di Poggio;;Castel di Poggio;;;;;;;;;x
b_castellodellimperatore;Castello dell'Imperatore;Castello dell'Imperatore;Castello dell'Imperatore;;Castello dell'Imperatore;;;;;;;;;x
b_sanmichelearcangleo;Spedale di San Michele Arcangelo;Spedale di San Michele Arcangelo;Spedale di San Michele Arcangelo;;Spedale di San Michele Arcangelo;;;;;;;;;x
b_empoli;Empoli;Empoli;Empoli;;Empoli;;;;;;;;;x
b_sanascianoinvaldipesa;San Casciano;San Casciano;San Casciano;;San Casciano;;;;;;;;;x
b_castellinainchianti;Castellina;Castellina;Castellina;;Castellina;;;;;;;;;x
b_montespertoli;Castello di Poppiano;Castello di Poppiano;Castello di Poppiano;;Castello di Poppiano;;;;;;;;;x
b_rignanosullarno;Rignano;Rignano;Rignano;;Rignano;;;;;;;;;x
b_barberinovadelsa;Barberino Val d'Elsa;Barberino Val d'Elsa;Barberino Val d'Elsa;;Barberino Val d'Elsa;;;;;;;;;x
b_castellodelsigna;Castello di Signa;Castello di Signa;Castello di Signa;;Castello di Signa;;;;;;;;;x
b_fuecchio;Fucecchio;Fucecchio;Fucecchio;;Fucecchio;;;;;;;;;x
b_castellodiontecascioli;Castello di Monte Cascioli;Castello di Monte Cascioli;Castello di Monte Cascioli;;Castello di Monte Cascioli;;;;;;;;;x
b_ficulle;Ficulle;Ficulle;Ficulle;;Ficulle;;;;;;;;;x
b_asciano;Asciano;Asciano;Asciano;;Asciano;;;;;;;;;x
b_acquapendente;Acquapendente;Acquapendente;Acquapendente;;Acquapendente;;;;;;;;;x
b_poggibonsi;Poggibonsi;Poggibonsi;Poggibonsi;;Poggibonsi;;;;;;;;;x
b_labbaziamonteolivetomaggiore;Abbazia di Monte Oliveto Maggiore;Abbazia di Monte Oliveto Maggiore;Abbazia di Monte Oliveto Maggiore;;Abbazia di Monte Oliveto Maggiore;;;;;;;;;x
b_castellodibelcaro;Castello di Belcaro;Castello di Belcaro;Castello di Belcaro;;Castello di Belcaro;;;;;;;;;x
b_castellodellamagione;Castello della Magione;Castello della Magione;Castello della Magione;;Castello della Magione;;;;;;;;;x
b_castellodellequattrotorri;Castello delle Quattro Torri;Castello delle Quattro Torri;Castello delle Quattro Torri;;Castello delle Quattro Torri;;;;;;;;;x
b_castelnuovoberardenga;Castelnuovo Berardenga;Castelnuovo Berardenga;Castelnuovo Berardenga;;Castelnuovo Berardenga;;;;;;;;;x
b_castellodibrolio;Castello di Brolio;Castello di Brolio;Castello di Brolio;;Castello di Brolio;;;;;;;;;x
b_greveinchianti;Greve;Greve;Greve;;Greve;;;;;;;;;x
b_castiglionedellago;Castiglione del Lago;Castiglione del Lago;Castiglione del Lago;;Castiglione del Lago;;;;;;;;;x
b_montevarchi;Castello di Monteguarco;Castello di Monteguarco;Castello di Monteguarco;;Castello di Monteguarco;;;;;;;;;x
b_sansepolcro;Badia di Sansepolcro;Badia di Sansepolcro;Badia di Sansepolcro;;Badia di Sansepolcro;;;;;;;;;x
b_umbertide;Umbertide;Umbertide;Umbertide;;Umbertide;;;;;;;;;x
b_civitellaranieri;Castello di Civitella;Castello di Civitella;Castello di Civitella;;Castello di Civitella;;;;;;;;;x
